Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,-9999
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-123,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-028,1996,17,17,1402,15.6,0,0,0,0,0,0,4,0,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-028,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-022,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-324,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-150,2001,24,24,1879,20.9,0,2,2,0,0,0,4,0,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-273,1995,33,21,1976,22.0,6,3,9,2,4,4,0,0,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-319,1997,18,17,1500,16.7,5,2,7,5,0,0,8,0,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-145,2002,12,11,892,9.9,0,1,1,0,0,0,2,0,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-196,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-040,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-333,1996,34,32,2615,29.1,7,1,8,7,0,0,5,0,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-253,1996,20,8,814,9.0,0,0,0,0,0,0,5,0,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-096,1991,9,8,602,6.7,0,1,1,0,0,0,2,0,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-118,2000,32,31,2767,30.7,0,0,0,0,0,0,2,0,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-141,1996,35,35,3113,34.6,5,4,9,4,1,2,2,0,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-211,1997,3,2,201,2.2,0,0,0,0,0,0,0,0,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-242,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,97220da2
65,David Brooks,wls WAL,FWDF,Bournemouth,25-306,1997,3,0,32,0.4,0,0,0,0,0,0,0,0,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-185,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-088,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-136,1996,35,26,2297,25.5,5,2,7,5,0,0,0,0,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-234,2002,19,15,1236,13.7,0,1,1,0,0,0,1,0,bfc3b3a0
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-138,2004,8,3,287,3.2,1,1,2,1,0,0,0,0,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,31-001,1992,34,32,2825,31.4,0,0,0,0,0,0,5,0,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-073,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-189,2001,32,30,2734,30.4,1,1,2,1,0,0,9,0,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-110,1991,30,3,762,8.5,2,0,2,2,0,0,2,0,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-235,1996,13,9,946,10.5,1,0,1,1,0,0,2,0,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-055,1997,15,13,1076,12.0,2,1,3,1,1,1,3,0,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-131,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-348,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-133,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-097,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-056,1993,3,2,205,2.3,0,0,0,0,0,0,0,0,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-253,2002,12,4,340,3.8,2,0,2,2,0,0,0,0,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-076,1992,24,20,1788,19.9,2,3,5,2,0,0,6,2,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-276,1997,23,18,1639,18.2,0,1,1,0,0,0,3,0,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-156,1995,34,33,2985,33.2,2,3,5,2,0,0,3,0,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-068,1994,18,14,1261,14.0,1,0,1,1,0,0,3,1,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-107,2004,15,3,530,5.9,2,2,4,2,0,0,1,0,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-149,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-309,1999,21,14,1293,14.4,0,0,0,0,0,0,4,0,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-110,1995,14,2,353,3.9,0,0,0,0,0,0,2,0,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-140,1996,23,15,1408,15.6,2,2,4,2,0,0,3,0,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-077,1995,29,19,1646,18.3,1,1,2,1,0,0,2,0,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-202,2003,11,1,232,2.6,0,0,0,0,0,0,0,0,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-092,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-035,1991,22,19,1640,18.2,0,0,0,0,0,0,3,0,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-074,1993,22,22,1970,21.9,1,1,2,1,0,0,2,0,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-198,1989,11,4,497,5.5,0,0,0,0,0,0,0,0,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-211,1988,23,20,1656,18.4,1,0,1,1,0,0,1,0,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,22-010,2001,24,17,1634,18.2,0,0,0,0,0,0,2,1,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-073,2003,13,9,862,9.6,0,0,0,0,0,0,1,0,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-096,1997,26,17,1620,18.0,0,2,2,0,0,0,3,0,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-021,1991,12,11,957,10.6,0,0,0,0,0,0,4,0,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-253,1991,17,15,1336,14.8,1,0,1,1,0,0,4,0,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-225,1996,12,1,167,1.9,0,0,0,0,0,0,0,0,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-215,1988,21,15,1143,12.7,1,0,1,1,0,0,4,1,a190d597
