Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT_percentage,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,-9999
384,David Ozoh,,FW,Crystal Palace,17-344,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,d00d45ab
385,João Palhinha,pt POR,MF,Fulham,27-305,1995,31.7,3,38,9,23.7,1.20,0.28,0.08,0.33,17.2,0,0,0,a78ff07f
386,Cole Palmer,eng ENG,FWMF,Manchester City,21-004,2002,1.7,0,2,0,0.0,1.20,0.00,0.00,,13.8,0,0,0,dc7f8a28
387,Emerson Palmieri,it ITA,DFFW,West Ham,28-280,1994,12.4,1,8,3,37.5,0.64,0.24,0.13,0.33,13.0,0,0,0,e0bc6fdc
388,Lucas Paquetá,br BRA,MF,West Ham,25-256,1997,22.1,4,47,12,25.5,2.12,0.54,0.06,0.25,18.9,1,1,1,9b6f7fd5
389,Thomas Partey,gh GHA,MF,Arsenal,29-331,1993,25.2,3,28,4,14.3,1.11,0.16,0.11,0.75,20.4,0,0,0,529f49ab
390,Nathan Patterson,sct SCO,DFMF,Everton,21-206,2001,12.9,0,8,1,12.5,0.62,0.08,0.00,0.00,18.2,0,0,0,230f0471
391,Ben Pearson,eng ENG,MF,Bournemouth,28-126,1995,3.2,0,2,1,50.0,0.63,0.31,0.00,0.00,25.2,0,0,0,a6b461e7
392,Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-141,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,ac7e7b1c
393,Andreas Pereira,br BRA,MF,Fulham,27-129,1996,29.9,4,61,22,36.1,2.04,0.74,0.05,0.14,21.3,12,1,1,6639e500
394,Ricardo Pereira,pt POR,DFMF,Leicester City,29-216,1993,4.3,1,2,1,50.0,0.47,0.23,0.50,1.00,17.8,0,0,0,75a72a99
395,Ayoze Pérez,es ESP,MFFW,Leicester City,29-285,1993,4.2,0,8,2,25.0,1.88,0.47,0.00,0.00,15.9,0,0,0,819aa8e7
396,Ivan Perišić,hr CRO,DFMF,Tottenham,34-097,1989,23.3,1,29,8,27.6,1.24,0.34,0.03,0.13,15.3,2,0,0,6fe90922
397,Romain Perraud,fr FRA,DF,Southampton,25-230,1997,20.4,2,30,6,20.0,1.47,0.29,0.07,0.33,22.3,0,0,0,6dfd8f05
398,Máximo Perrone,ar ARG,MF,Manchester City,20-123,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,53552942
399,Kalvin Phillips,eng ENG,MF,Manchester City,27-159,1995,1.2,0,2,0,0.0,1.64,0.00,0.00,,21.9,0,0,0,4f565d77
400,Nathaniel Phillips,eng ENG,DF,Liverpool,26-050,1997,0.7,0,1,0,0.0,1.36,0.00,0.00,,10.8,0,0,0,515ebe8d
401,Jordan Pickford,eng ENG,GK,Everton,29-064,1994,34.0,0,0,0,,0.00,0.00,,,,0,0,0,4806ec67
402,Ethan Pinnock,jm JAM,DF,Brentford,29-346,1993,27.0,2,12,6,50.0,0.44,0.22,0.17,0.33,8.6,0,0,0,e541326e
403,Daniel Podence,pt POR,FWMF,Wolves,27-201,1995,18.6,6,40,17,42.5,2.15,0.92,0.15,0.35,16.6,0,0,0,7fcc71d8
404,Nick Pope,eng ENG,GK,Newcastle Utd,31-021,1992,33.2,0,0,0,,0.00,0.00,,,,0,0,0,4b40d9ca
405,Pedro Porro,es ESP,DFMF,Tottenham,23-239,1999,10.5,2,21,6,28.6,2.00,0.57,0.10,0.33,21.5,1,0,0,27d0a506
406,Dennis Praet,be BEL,MFFW,Leicester City,28-361,1994,7.2,1,5,2,40.0,0.69,0.28,0.20,0.50,13.6,0,0,0,86695068
407,Isaac Price,nir NIR,MF,Everton,19-226,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,b9403c99
408,Christian Pulisic,us USA,FWDF,Chelsea,24-234,1998,8.7,1,17,5,29.4,1.95,0.57,0.06,0.20,16.4,0,0,0,1bf33a9a
409,Aaron Ramsdale,eng ENG,GK,Arsenal,24-361,1998,35.0,0,0,0,,0.00,0.00,,,,0,0,0,466fb2c5
410,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-347,2001,26.3,4,28,9,32.1,1.07,0.34,0.14,0.44,17.3,0,0,0,1544f145
411,Marcus Rashford,eng ENG,FW,Manchester Utd,25-191,1997,30.5,16,97,44,45.4,3.18,1.44,0.16,0.36,16.2,6,0,0,a1d5bd30
412,David Raya,es ESP,GK,Brentford,27-237,1995,35.0,0,1,0,0.0,0.03,0.00,0.00,,9.1,0,0,0,98ea5115
413,Tim Ream,us USA,DF,Fulham,35-217,1987,32.2,1,3,2,66.7,0.09,0.06,0.33,0.50,9.8,0,0,0,28b40c9c
414,Nathan Redmond,eng ENG,DF,Southampton,29-065,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,ab651565
415,Harrison Reed,eng ENG,MF,Fulham,28-103,1995,29.6,3,20,7,35.0,0.68,0.24,0.15,0.43,20.1,0,0,0,803ae100
416,Bobby Reid,jm JAM,FWDF,Fulham,30-097,1993,27.1,4,31,10,32.3,1.14,0.37,0.13,0.40,13.7,0,0,0,0f7533cd
417,Declan Rice,eng ENG,MF,West Ham,24-116,1999,34.0,3,32,7,21.9,0.94,0.21,0.09,0.43,24.1,1,0,1,1c7012b8
418,Chris Richards,us USA,DF,Crystal Palace,23-043,2000,5.0,0,4,0,0.0,0.81,0.00,0.00,,9.1,0,0,0,0a3d6d2b
419,Richarlison,br BRA,MFFW,Tottenham,26-000,1997,10.2,1,22,9,40.9,2.16,0.88,0.05,0.11,13.3,0,0,0,fa031b34
420,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-243,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,7a1f2c08
421,Matt Ritchie,sct SCO,FWMF,Newcastle Utd,33-242,1989,0.4,0,0,0,,0.00,0.00,,,,0,0,0,71ef519e
422,Andrew Robertson,sct SCO,DF,Liverpool,29-060,1994,26.9,0,13,2,15.4,0.48,0.07,0.00,0.00,14.5,0,0,0,2e4f5f03
423,Antonee Robinson,us USA,DF,Fulham,25-275,1997,31.3,0,3,0,0.0,0.10,0.00,0.00,,25.7,0,0,0,289601e6
424,Joel Robles,es ESP,GK,Leeds United,32-327,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,cda0b317
425,Marc Roca,es ESP,MF,Leeds United,26-165,1996,25.6,1,35,13,37.1,1.36,0.51,0.03,0.08,22.3,4,0,0,da27e268
426,Marek Rodák,sk SVK,GK,Fulham,26-148,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,17acc2ed
427,Rodri,es ESP,MF,Manchester City,26-322,1996,30.2,2,49,13,26.5,1.62,0.43,0.04,0.15,16.9,0,0,0,6434f10d
428,Rodrigo,es ESP,FWMF,Leeds United,32-065,1991,18.5,12,61,23,37.7,3.29,1.24,0.18,0.48,16.1,2,1,1,1fb1c435
429,Mads Roerslev,dk DEN,DF,Brentford,23-320,1999,12.2,0,3,0,0.0,0.25,0.00,0.00,,14.8,0,0,0,57c94db2
430,Cristian Romero,ar ARG,DF,Tottenham,25-013,1998,25.3,0,11,2,18.2,0.44,0.08,0.00,0.00,12.3,0,0,0,a3d94a58
431,Oriol Romeu,es ESP,MF,Southampton,31-228,1991,0.8,0,0,0,,0.00,0.00,,,,0,0,0,4b511457
432,Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-094,1985,5.8,1,25,6,24.0,4.29,1.03,0.04,0.17,17.7,1,0,0,dea698d9
433,Connor Ronan,ie IRL,MF,Wolves,25-065,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,1b804500
434,Salomón Rondón,ve VEN,FW,Everton,33-236,1989,1.2,0,4,1,25.0,3.30,0.83,0.00,0.00,19.3,0,0,0,b318a643
