Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT_percentage,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,-9999
485,Jack Stephens,eng ENG,DF,Bournemouth,29-103,1994,13.0,0,2,1,50.0,0.15,0.08,0.00,0.00,5.2,0,0,0,6adbc307
486,Raheem Sterling,eng ENG,FWMF,Chelsea,28-153,1994,18.3,4,30,11,36.7,1.64,0.60,0.13,0.36,13.0,0,0,0,b400bde0
487,John Stones,eng ENG,DFMF,Manchester City,28-347,1994,19.2,2,11,3,27.3,0.57,0.16,0.18,0.67,13.4,0,0,0,5eecec3d
488,Pascal Struijk,nl NED,DF,Leeds United,23-272,1999,22.9,2,14,7,50.0,0.61,0.31,0.14,0.29,12.6,0,0,0,f4d296e4
489,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-084,2002,9.2,0,18,4,22.2,1.95,0.43,0.00,0.00,19.1,0,0,0,a62f8bf1
490,Crysencio Summerville,nl NED,FW,Leeds United,21-192,2001,15.5,4,26,9,34.6,1.68,0.58,0.15,0.44,14.8,0,0,0,df04eb4b
491,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-286,1998,3.6,1,9,2,22.2,2.52,0.56,0.11,0.50,11.6,0,0,0,b017b770
492,Japhet Tanganga,eng ENG,DF,Tottenham,24-040,1999,1.6,0,0,0,,0.00,0.00,,,,0,0,0,e9971f2d
493,Matt Targett,eng ENG,DF,Newcastle Utd,27-234,1995,5.9,0,1,0,0.0,0.17,0.00,0.00,,25.8,0,0,0,e514ab62
494,James Tarkowski,eng ENG,DF,Everton,30-172,1992,35.0,1,27,8,29.6,0.77,0.23,0.04,0.13,9.2,0,0,0,15ea812b
495,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-049,1999,19.4,5,37,14,37.8,1.91,0.72,0.14,0.36,17.3,2,0,0,5c0da4a4
496,Tetê,br BRA,FW,Leicester City,23-084,2000,7.8,1,15,1,6.7,1.92,0.13,0.07,1.00,19.8,0,0,0,7120a04d
497,Kenny Tete,nl NED,DF,Fulham,27-213,1995,25.5,0,12,4,33.3,0.47,0.16,0.00,0.00,20.1,0,0,0,77d7c96f
498,Luke Thomas,eng ENG,DF,Leicester City,21-334,2001,9.7,0,3,0,0.0,0.31,0.00,0.00,,16.6,0,0,0,fc027d02
499,Youri Tielemans,be BEL,MF,Leicester City,26-003,1997,23.0,3,28,8,28.6,1.22,0.35,0.07,0.25,27.7,1,1,2,56f7a928
500,Kieran Tierney,sct SCO,DF,Arsenal,25-339,1997,7.4,0,6,2,33.3,0.81,0.27,0.00,0.00,24.5,0,0,0,fce2302c
501,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-264,1995,9.9,0,6,2,33.3,0.60,0.20,0.00,0.00,17.6,0,0,0,a105d46a
502,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-186,1998,7.4,0,3,0,0.0,0.41,0.00,0.00,,12.1,0,0,0,b3af9be1
503,James Tomkins,eng ENG,DF,Crystal Palace,34-042,1989,3.8,1,3,2,66.7,0.80,0.53,0.33,0.50,12.7,0,0,0,e7ca0439
504,Ivan Toney,eng ENG,FW,Brentford,27-055,1996,32.8,20,87,33,37.9,2.65,1.01,0.16,0.42,16.5,9,6,7,e09f279b
505,Adama Traoré,es ESP,FWMF,Wolves,27-105,1996,14.5,2,17,6,35.3,1.17,0.41,0.12,0.33,14.7,0,0,0,9a28eba4
506,Bertrand Traoré,bf BFA,FWMF,Aston Villa,27-246,1995,2.6,2,9,3,33.3,3.48,1.16,0.22,0.67,16.4,0,0,0,c47541e0
507,Boubacar Traoré,ml MLI,MF,Wolves,21-263,2001,4.3,0,3,0,0.0,0.70,0.00,0.00,,29.3,0,0,0,999ceb5f
508,Mark Travers,ie IRL,GK,Bournemouth,23-357,1999,10.5,0,0,0,,0.00,0.00,,,,0,0,0,fe558029
509,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-233,1990,33.1,1,12,4,33.3,0.36,0.12,0.08,0.25,28.2,11,0,0,21512407
510,Leandro Trossard,be BEL,FW,Arsenal,28-157,1994,7.9,1,11,3,27.3,1.39,0.38,0.09,0.33,17.1,0,0,0,38ceb24a
511,Leandro Trossard,be BEL,FWMF,Brighton,28-157,1994,14.6,7,38,17,44.7,2.60,1.16,0.18,0.41,15.0,0,0,0,38ceb24a
512,Kostas Tsimikas,gr GRE,DF,Liverpool,26-363,1996,7.7,0,7,2,28.6,0.91,0.26,0.00,0.00,15.5,0,0,0,f315ca93
513,Deniz Undav,de GER,FWMF,Brighton,26-295,1996,4.6,2,18,6,33.3,3.91,1.30,0.11,0.33,10.4,0,0,0,dd549382
514,Yan Valery,tn TUN,DF,Southampton,24-077,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,531a4aa8
515,Virgil van Dijk,nl NED,DF,Liverpool,31-306,1991,29.5,3,30,9,30.0,1.02,0.31,0.10,0.33,12.8,0,0,0,e06683ca
516,Raphaël Varane,fr FRA,DF,Manchester Utd,30-015,1993,18.3,0,6,3,50.0,0.33,0.16,0.00,0.00,8.6,0,0,0,9f8e9423
517,Jamie Vardy,eng ENG,FW,Leicester City,36-119,1987,18.8,3,25,11,44.0,1.33,0.59,0.12,0.27,12.5,0,0,1,45963054
518,Joël Veltman,nl NED,DF,Brighton,31-115,1992,22.8,1,14,4,28.6,0.61,0.18,0.07,0.25,16.7,0,0,0,dad4b285
519,Fabio Vieira,pt POR,MF,Arsenal,22-345,2000,5.3,1,15,2,13.3,2.83,0.38,0.07,0.50,20.1,0,0,0,6412cc03
520,Matías Viña,uy URU,DF,Bournemouth,25-182,1997,3.8,2,8,5,62.5,2.12,1.33,0.25,0.40,18.2,0,0,0,08eb3b58
521,Rúben Vinagre,pt POR,DFMF,Everton,24-031,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,b937e490
522,Carlos Vinícius,br BRA,FW,Fulham,28-046,1995,11.5,4,19,11,57.9,1.65,0.96,0.21,0.36,12.1,0,0,0,8b529245
523,Theo Walcott,eng ENG,FWMF,Southampton,34-055,1989,10.0,2,18,7,38.9,1.80,0.70,0.11,0.29,17.1,0,0,0,1ecb65be
524,Kyle Walker,eng ENG,DF,Manchester City,32-347,1990,17.8,0,3,1,33.3,0.17,0.06,0.00,0.00,24.7,0,0,0,86dd77d1
525,Kyle Walker-Peters,eng ENG,DF,Southampton,26-027,1997,26.4,1,12,4,33.3,0.45,0.15,0.08,0.25,18.1,0,0,0,984a5a64
526,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-165,1997,12.9,0,8,2,25.0,0.62,0.15,0.00,0.00,15.8,0,0,0,9e525177
527,Danny Ward,wls WAL,GK,Leicester City,29-322,1993,26.0,0,0,0,,0.00,0.00,,,,0,0,0,d3ce0e89
528,Joel Ward,eng ENG,DF,Crystal Palace,33-193,1989,22.1,0,5,0,0.0,0.23,0.00,0.00,,21.4,0,0,0,8a7ff278
529,James Ward-Prowse,eng ENG,MF,Southampton,28-190,1994,34.5,8,37,14,37.8,1.07,0.41,0.16,0.43,27.3,15,2,4,3515d404
530,Ollie Watkins,eng ENG,FW,Aston Villa,27-131,1995,31.8,14,81,43,53.1,2.55,1.35,0.16,0.30,12.5,0,1,1,aed3a70f
531,Adam Webster,eng ENG,DF,Brighton,28-126,1995,21.3,0,18,2,11.1,0.84,0.09,0.00,0.00,11.2,0,0,0,c40b6180
532,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-276,1992,8.1,0,11,4,36.4,1.36,0.50,0.00,0.00,13.2,0,0,0,c4e87b8b
533,Danny Welbeck,eng ENG,FW,Brighton,32-165,1990,18.5,6,55,21,38.2,2.97,1.13,0.11,0.29,13.6,0,0,0,ce5143da
534,Ben White,eng ENG,DF,Arsenal,25-214,1997,30.9,2,10,2,20.0,0.32,0.06,0.20,1.00,16.7,0,0,0,35e413f1
535,Harvey White,eng ENG,MF,Tottenham,21-233,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,4d90ce8c
536,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-070,2004,2.0,0,0,0,,0.00,0.00,,,,0,0,0,3f847d95
537,Neco Williams,wls WAL,DF,Nott'ham Forest,22-027,2001,20.9,1,25,7,28.0,1.20,0.33,0.04,0.14,21.2,2,0,0,dd323728
538,Willian,br BRA,FW,Fulham,34-274,1988,20.8,5,38,15,39.5,1.83,0.72,0.13,0.33,18.6,2,0,0,8b9ebd03
539,Joe Willock,eng ENG,MF,Newcastle Utd,23-263,1999,26.8,3,56,16,28.6,2.09,0.60,0.05,0.19,16.8,0,0,0,a3b03921
540,Callum Wilson,eng ENG,FW,Newcastle Utd,31-072,1992,18.1,15,59,28,47.5,3.27,1.55,0.24,0.50,12.3,0,1,1,c596fcb0
541,Harry Wilson,wls WAL,FW,Fulham,26-049,1997,9.8,2,16,4,25.0,1.64,0.41,0.13,0.50,16.1,0,0,0,c6dc9ecd
542,Yoane Wissa,cd COD,FW,Brentford,26-249,1996,15.0,5,25,11,44.0,1.66,0.73,0.20,0.45,14.9,0,0,0,2500cef9
543,Maximilian Wöber,at AUT,DF,Leeds United,25-095,1998,11.4,0,7,1,14.3,0.61,0.09,0.00,0.00,14.0,1,0,0,4b803b3c
544,Chris Wood,nz NZL,FW,Newcastle Utd,31-154,1991,5.0,2,8,3,37.5,1.61,0.61,0.13,0.33,14.7,0,1,1,4e9a0555
545,Chris Wood,nz NZL,FW,Nott'ham Forest,31-154,1991,4.1,1,3,1,33.3,0.73,0.24,0.33,1.00,8.2,0,0,0,4e9a0555
546,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-120,1997,21.7,1,5,1,20.0,0.23,0.05,0.20,1.00,12.7,0,0,0,a5212312
547,Granit Xhaka,ch SUI,MF,Arsenal,30-225,1992,31.1,5,36,12,33.3,1.16,0.39,0.14,0.42,17.5,3,0,0,e61b8aee
548,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-170,1997,17.5,0,26,5,19.2,1.49,0.29,0.00,0.00,16.8,0,0,0,c1fe2a48
549,Ashley Young,eng ENG,DF,Aston Villa,37-305,1985,21.2,1,14,3,21.4,0.66,0.14,0.07,0.33,26.1,0,0,0,be927d03
550,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-251,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,88968486
551,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-181,1992,24.9,7,62,21,33.9,2.49,0.84,0.11,0.33,16.9,0,0,2,b2bc3b1f
552,Denis Zakaria,ch SUI,MF,Chelsea,26-171,1996,4.6,0,2,0,0.0,0.44,0.00,0.00,,16.9,0,0,0,384d58d9
553,Jordan Zemura,zw ZIM,DF,Bournemouth,23-177,1999,16.2,0,4,0,0.0,0.25,0.00,0.00,,12.9,0,0,0,e8271ad9
554,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-146,1996,23.5,1,28,7,25.0,1.19,0.30,0.04,0.14,22.7,0,0,0,51cf8561
555,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-052,1993,7.0,0,14,2,14.3,1.99,0.28,0.00,0.00,21.5,0,0,0,6622454d
556,Kurt Zouma,fr FRA,DF,West Ham,28-195,1994,21.6,2,19,5,26.3,0.88,0.23,0.11,0.40,10.1,0,0,0,ce4246f5
557,Martin Ødegaard,no NOR,MF,Arsenal,24-144,1998,32.1,15,89,31,34.8,2.77,0.97,0.17,0.48,18.9,8,0,0,79300479
