Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,-9999
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-241,1991,27.2,792,779,11,3,5,1,43,7,0,0,0,0,604,2,32,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-258,1991,19.8,994,790,197,20,0,11,50,177,0,0,0,0,693,7,44,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-255,1989,14.0,904,752,149,28,0,0,21,121,0,0,0,0,730,3,12,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-045,2001,9.1,762,745,16,14,1,6,1,2,0,0,0,0,679,1,4,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-274,1997,19.8,510,472,38,4,3,5,91,9,17,13,0,0,318,0,29,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-200,2004,5.8,258,255,3,3,0,3,5,0,0,0,0,0,200,0,6,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-247,1993,15.5,307,269,37,0,1,0,3,1,0,0,0,0,213,1,10,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-032,1998,6.4,284,276,6,1,2,0,11,3,2,2,0,0,238,2,6,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-152,1997,28.1,734,718,10,0,4,1,42,8,0,0,0,0,507,6,29,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-079,2002,32.0,1178,847,325,88,0,1,0,0,0,0,0,0,718,6,0,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-123,1999,0.2,11,7,4,0,0,0,0,4,0,0,0,0,7,0,0,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-028,1996,15.6,778,727,50,35,0,2,1,10,0,0,0,0,646,1,8,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-028,1996,1.1,66,64,2,2,0,0,0,0,0,0,0,0,60,0,1,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-022,1997,1.9,61,56,3,0,0,0,0,0,1,0,0,0,46,2,4,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-324,1987,1.0,30,21,9,1,0,0,0,0,0,0,0,0,21,0,0,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-150,2001,20.9,937,908,28,21,1,9,4,5,0,0,0,0,749,1,12,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-273,1995,22.0,745,721,19,1,5,2,76,8,3,3,0,0,560,5,25,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-319,1997,16.7,880,852,25,11,3,3,16,4,1,0,0,0,738,3,19,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-145,2002,9.9,496,376,117,6,1,0,29,100,11,6,4,0,327,3,16,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-196,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-040,2000,0.2,21,19,2,0,0,0,1,2,0,0,0,0,15,0,0,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-333,1996,29.1,974,931,40,19,5,8,36,5,9,5,1,0,746,3,30,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-253,1996,9.0,571,558,11,8,1,2,2,0,0,0,0,0,514,2,8,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-096,1991,6.7,243,239,4,3,0,0,0,1,0,0,0,0,183,0,3,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-118,2000,30.7,1567,1522,39,30,0,29,1,3,0,0,0,0,1345,6,6,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-141,1996,34.6,834,729,101,10,6,4,149,3,83,78,0,0,519,4,55,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-211,1997,2.2,122,99,23,2,0,1,12,21,0,0,0,0,85,0,3,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-242,2001,3.3,53,51,2,0,0,1,0,0,0,0,0,0,33,0,0,97220da2
65,David Brooks,wls WAL,FWDF,Bournemouth,25-306,1997,0.4,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-185,2000,0.3,21,16,5,0,0,0,0,5,0,0,0,0,17,0,1,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-088,2001,1.6,60,57,3,1,0,0,2,1,0,0,0,0,47,0,3,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-136,1996,25.5,984,921,60,7,10,7,18,6,5,2,0,1,759,3,38,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-234,2002,13.7,643,509,131,7,0,0,56,108,16,2,14,0,519,3,19,bfc3b3a0
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-138,2004,3.2,113,109,4,1,0,0,6,1,2,2,0,0,89,0,3,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,31-001,1992,31.4,1524,1277,244,13,0,6,16,230,0,0,0,0,1196,3,27,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-073,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-189,2001,30.4,1983,1966,17,9,10,8,13,8,0,0,0,0,1762,0,33,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-110,1991,8.5,619,592,25,8,2,3,27,4,10,4,2,0,527,2,9,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-235,1996,10.5,568,542,22,17,0,3,1,1,0,0,0,0,480,4,1,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-055,1997,12.0,205,204,1,0,0,0,5,0,0,0,0,0,121,0,8,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-131,2002,0.8,32,31,1,0,0,0,4,0,1,1,0,0,23,0,1,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-348,1994,14.2,1220,1120,98,20,2,14,45,78,0,0,0,0,1036,2,15,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-133,2002,0.3,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-097,1997,0.9,43,39,3,1,0,0,3,2,0,0,0,0,23,1,0,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-056,1993,2.3,142,136,5,4,0,1,1,1,0,0,0,0,112,1,1,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-253,2002,3.8,139,136,2,0,0,0,2,1,0,0,0,0,114,1,3,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-076,1992,19.9,1213,1185,21,20,10,10,18,0,0,0,0,0,935,7,26,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-276,1997,18.2,939,768,168,14,2,6,46,154,0,0,0,0,733,3,21,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-156,1995,33.2,1736,1467,265,16,3,2,56,249,0,0,0,0,1393,4,41,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-068,1994,14.0,832,698,132,12,3,1,18,120,0,0,0,0,701,2,23,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-107,2004,5.9,177,170,6,0,2,0,6,1,0,0,0,0,129,1,4,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-149,1994,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-309,1999,14.4,941,888,52,19,0,4,11,33,0,0,0,0,831,1,9,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-110,1995,3.9,207,191,13,4,0,1,4,9,0,0,0,0,157,3,1,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-140,1996,15.6,977,774,198,25,2,5,92,121,52,25,20,0,762,5,18,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-077,1995,18.3,578,549,27,3,6,6,30,4,19,10,5,0,459,2,13,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-202,2003,2.6,117,116,1,0,0,0,3,0,0,0,0,0,98,0,4,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-092,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-035,1991,18.2,832,674,156,7,0,3,21,149,0,0,0,0,654,2,12,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-074,1993,21.9,1149,1110,34,30,1,9,1,3,0,0,0,0,972,5,1,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-198,1989,5.5,143,139,4,2,0,0,1,1,0,0,0,0,119,0,3,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-211,1988,18.4,789,615,174,10,0,3,22,164,0,0,0,0,597,0,20,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,22-010,2001,18.2,1036,1011,22,16,0,8,0,6,0,0,0,0,917,3,4,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-073,2003,9.6,835,791,40,17,2,1,1,11,0,0,0,0,741,4,4,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-096,1997,18.0,695,639,53,32,1,3,42,0,13,13,0,0,547,3,19,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-021,1991,10.6,459,445,13,11,0,6,1,2,0,0,0,0,369,1,2,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-253,1991,14.8,729,698,31,29,0,7,1,2,0,0,0,0,572,0,3,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-225,1996,1.9,61,58,2,0,0,0,4,1,0,0,0,0,44,1,5,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-215,1988,12.7,194,181,13,1,1,0,6,0,0,0,0,0,137,0,12,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-261,1992,21.7,1050,806,238,14,0,0,100,224,0,0,0,0,643,6,45,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-332,1992,8.8,384,352,30,13,5,1,19,5,6,3,1,0,288,2,7,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-046,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-146,1989,24.1,1394,1109,282,39,1,5,130,190,53,3,43,1,1081,3,33,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-292,1998,18.6,1293,1093,192,28,0,2,44,151,13,8,3,0,1090,8,26,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-348,1999,10.0,217,197,19,1,1,0,7,3,0,0,0,0,160,1,7,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-213,1998,12.5,269,242,25,0,5,0,7,6,0,0,0,0,179,2,10,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-053,1999,22.9,1397,1176,215,16,3,20,41,199,0,0,0,0,1105,6,34,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-311,2000,8.9,330,312,13,8,5,2,22,1,2,1,1,0,223,5,9,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,22-011,2001,9.1,217,208,7,0,2,1,3,2,0,0,0,0,144,2,14,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-099,1997,1.0,28,28,0,0,0,0,2,0,0,0,0,0,15,0,2,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-199,1998,15.0,593,567,25,8,1,0,33,11,6,4,0,0,473,1,17,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-016,1993,22.5,1159,1085,71,26,1,8,31,45,0,0,0,0,944,3,19,44781702
119,Tom Davies,eng ENG,MF,Everton,24-314,1998,6.0,234,227,6,5,3,3,2,1,0,0,0,0,173,1,6,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,33-004,1990,8.0,310,299,9,8,0,2,2,1,0,0,0,0,245,2,3,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,33-004,1990,13.7,805,780,23,19,0,3,0,4,0,0,0,0,677,2,3,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-316,1991,26.1,1586,1422,152,51,28,27,223,29,70,20,32,6,1157,12,39,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-245,1996,1.2,47,45,2,0,0,0,3,2,0,0,0,0,37,0,1,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-025,1995,7.7,281,275,5,4,0,0,2,1,0,0,0,0,247,1,5,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-025,1995,2.4,99,96,3,3,0,2,1,0,0,0,0,0,86,0,5,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-176,1997,7.8,177,172,4,0,0,0,11,3,0,0,0,0,120,1,14,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-153,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-246,1998,24.8,1114,1080,24,9,9,19,46,3,7,7,0,0,838,10,25,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-063,1999,9.1,402,395,7,7,0,2,4,0,0,0,0,0,317,0,9,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-361,1997,21.2,1983,1933,50,37,1,6,1,7,0,0,0,0,1836,0,6,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-117,1997,9.1,366,359,7,0,0,7,7,6,1,0,0,0,299,0,12,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-115,1994,31.3,2001,1929,68,58,2,17,11,8,0,0,0,0,1708,4,15,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-294,1993,15.1,864,699,164,23,0,4,70,131,10,4,4,0,655,1,21,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-121,1997,19.4,1218,1178,39,36,0,8,2,0,0,0,0,0,1047,1,7,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-329,1998,7.7,232,205,26,3,0,2,12,23,0,0,0,0,169,1,10,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-180,2005,0.3,14,14,0,0,0,0,0,0,0,0,0,0,10,0,1,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-114,1992,7.4,408,345,61,2,0,1,18,59,0,0,0,0,329,2,8,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-142,1997,34.9,2218,2138,76,53,1,11,4,5,0,0,0,0,1984,4,18,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-129,1993,14.0,474,459,13,0,1,0,5,0,0,0,0,0,376,2,13,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-122,2000,28.1,1128,1112,14,14,2,2,5,0,0,0,0,0,932,2,27,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-110,1999,6.5,216,211,5,1,0,1,3,0,0,0,0,0,180,0,5,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-153,2001,0.8,38,31,7,1,0,0,1,6,0,0,0,0,30,0,1,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-115,1989,0.7,22,15,7,1,0,0,0,0,0,0,0,0,19,0,0,3a949a25
144,Shane Duffy,ie IRL,DFFW,Fulham,31-129,1992,0.2,20,19,1,0,0,0,0,0,0,0,0,0,16,0,0,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-170,1991,33.0,2944,2803,139,99,4,21,2,9,0,0,0,0,2658,2,13,282f75f3
146,Jhon Durán,co COL,FWMF,Aston Villa,19-148,2003,1.2,24,22,2,0,0,0,2,1,0,0,0,0,14,0,1,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-248,2003,0.4,10,10,0,0,0,0,3,0,0,0,0,0,5,0,2,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-266,1993,33.0,1174,978,195,51,1,8,0,0,0,0,0,0,1009,1,1,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-114,1998,18.0,376,356,18,0,0,0,4,0,0,0,0,0,270,2,11,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-102,2003,6.3,164,163,0,0,1,0,11,0,0,0,0,0,111,1,12,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-013,2002,4.7,130,127,3,0,0,1,7,2,0,0,0,0,95,0,2,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-036,2003,17.4,968,923,37,0,8,4,31,9,1,0,0,0,776,8,22,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-303,1992,1.3,60,58,2,2,0,0,0,0,0,0,0,0,57,0,1,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-279,1994,22.4,597,575,20,1,7,1,31,16,1,1,0,0,401,2,22,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-116,1999,16.5,890,739,147,18,0,6,44,128,1,0,0,0,714,4,30,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-085,1992,19.9,1308,1209,93,28,8,20,68,6,54,21,16,1,1054,6,21,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-109,1998,25.2,1682,1487,190,20,5,6,81,169,1,0,0,0,1386,5,47,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-127,1988,9.0,675,655,19,18,0,2,0,1,0,0,0,0,603,1,4,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-315,1998,26.3,1049,909,133,64,8,5,67,7,44,17,12,1,822,7,11,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-022,1985,31.6,845,538,304,81,0,2,0,0,0,0,0,0,537,3,0,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-199,1993,27.2,1666,1624,37,31,5,5,5,6,0,0,0,0,1471,5,17,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-037,1998,28.0,1739,1688,49,43,2,7,0,1,0,0,0,0,1486,2,10,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-359,1989,13.9,538,515,20,13,0,3,2,7,0,0,0,0,389,3,11,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-181,1999,9.0,309,274,33,4,2,4,19,5,12,2,9,0,236,2,8,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-203,2004,7.2,172,157,14,0,1,0,1,0,0,0,0,0,138,1,2,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-244,1994,33.0,1819,1647,162,28,30,34,125,21,74,18,19,1,1344,10,57,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-113,2001,13.2,1083,1046,35,33,7,13,8,2,0,0,0,0,955,2,11,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-220,1991,12.6,540,525,14,1,7,0,12,6,0,0,0,0,426,1,21,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-261,1996,13.9,572,466,104,7,1,1,11,97,0,0,0,0,424,2,16,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-347,2000,16.9,915,854,57,7,3,4,85,11,39,4,26,2,730,4,28,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-139,2002,0.7,6,6,0,0,1,0,1,0,0,0,0,0,4,0,0,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-144,2000,2.0,140,138,1,1,0,0,0,0,0,0,0,0,117,1,3,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-144,2000,10.6,691,667,23,17,0,2,3,6,0,0,0,0,615,1,4,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-077,1996,14.1,640,595,41,5,5,10,51,6,19,16,2,0,456,4,18,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-214,1991,3.1,111,107,4,2,0,1,4,0,2,1,1,0,90,0,4,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-054,1988,10.5,272,184,87,21,0,0,0,0,0,0,0,0,209,1,1,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-298,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-075,1994,3.5,122,112,7,2,0,0,13,2,3,0,1,0,85,3,4,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-066,1993,12.8,705,687,14,8,6,1,14,1,2,0,1,0,553,4,24,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-212,1992,5.9,220,177,43,1,0,0,15,42,0,0,0,0,149,0,11,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-025,1992,24.0,836,812,23,20,0,2,5,2,0,0,0,0,664,1,17,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,24-003,1999,13.8,332,322,8,0,1,0,14,2,3,3,0,0,247,2,6,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-093,2000,14.6,722,673,47,11,1,6,46,9,21,9,7,0,577,2,26,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-226,1989,26.1,1138,1118,16,13,1,4,9,2,0,0,0,0,956,4,22,72c812f3
