Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-152,1997,28.1,24,14,8,12,4,27,30,1,29,8,32,9,0,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-079,2002,32.0,1,0,1,0,0,0,0,0,0,1,2,24,2,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-123,1999,0.2,0,0,0,0,0,0,0,0,0,1,1,1,0,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-028,1996,15.6,23,17,16,7,0,3,32,23,9,44,67,63,0,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-028,1996,1.1,3,3,0,3,0,0,3,1,2,2,5,5,0,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-022,1997,1.9,0,0,0,0,0,1,2,1,1,1,1,1,0,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-324,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-150,2001,20.9,37,17,28,9,0,5,29,12,17,44,81,110,0,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-273,1995,22.0,24,14,11,6,7,16,22,1,21,9,33,13,0,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-319,1997,16.7,45,28,15,21,9,12,28,15,13,20,65,22,0,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-145,2002,9.9,38,23,18,16,4,8,16,4,12,3,41,26,0,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-196,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-040,2000,0.2,2,1,2,0,0,0,0,0,0,1,3,0,0,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-333,1996,29.1,60,34,20,31,9,28,48,8,40,31,91,57,1,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-253,1996,9.0,12,10,3,5,4,5,12,5,7,9,21,7,0,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-096,1991,6.7,13,6,8,3,2,5,12,4,8,12,25,39,0,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-118,2000,30.7,36,23,30,6,0,6,40,21,19,31,67,110,2,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-141,1996,34.6,38,15,14,11,13,40,47,9,38,35,73,24,0,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-211,1997,2.2,3,1,2,1,0,0,2,1,1,4,7,4,0,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-242,2001,3.3,4,1,0,3,1,0,10,1,9,1,5,1,0,97220da2
65,David Brooks,wls WAL,FWDF,Bournemouth,25-306,1997,0.4,1,0,1,0,0,0,0,0,0,0,1,2,0,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-185,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,2,0,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-088,2001,1.6,3,1,3,0,0,3,3,0,3,1,4,1,0,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-136,1996,25.5,51,22,19,20,12,49,20,2,18,20,71,15,0,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-234,2002,13.7,32,16,23,5,4,13,13,1,12,10,42,35,0,bfc3b3a0
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-138,2004,3.2,1,0,0,1,0,11,3,0,3,3,4,2,0,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,31-001,1992,31.4,54,34,27,19,8,30,40,14,26,30,84,116,2,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-073,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-189,2001,30.4,93,47,36,46,11,23,37,6,31,47,140,26,3,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-110,1991,8.5,17,6,4,8,5,2,16,3,13,4,21,2,0,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-235,1996,10.5,14,10,9,4,1,3,15,11,4,15,29,65,1,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-055,1997,12.0,3,1,1,0,2,4,4,0,4,3,6,16,0,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-131,2002,0.8,2,1,1,1,0,1,2,0,2,1,3,0,0,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-348,1994,14.2,29,21,16,9,4,7,7,1,6,19,48,9,1,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-133,2002,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-097,1997,0.9,0,0,0,0,0,2,3,1,2,0,0,1,0,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-056,1993,2.3,1,0,0,1,0,1,2,2,0,1,2,2,0,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-253,2002,3.8,8,8,3,3,2,3,6,0,6,5,13,0,0,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-076,1992,19.9,75,39,39,27,9,34,39,10,29,30,105,57,0,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-276,1997,18.2,48,28,33,11,4,10,18,4,14,24,72,40,0,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-156,1995,33.2,80,42,49,25,6,36,46,12,34,41,121,94,0,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-068,1994,14.0,34,15,23,10,1,19,26,5,21,14,48,28,2,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-107,2004,5.9,7,2,1,4,2,3,4,0,4,2,9,2,0,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-149,1994,0.1,1,1,1,0,0,0,0,0,0,0,1,2,0,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-309,1999,14.4,25,16,17,5,3,10,10,3,7,22,47,47,1,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-110,1995,3.9,9,6,7,2,0,2,5,4,1,7,16,10,1,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-140,1996,15.6,21,17,12,8,1,12,21,2,19,18,39,26,0,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-077,1995,18.3,32,21,10,22,0,28,14,2,12,24,56,18,0,26ce2263
