Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,-9999
51,Asmir Begović,ba BIH,GK,Everton,35-324,1987,1.0,0,0.00,0,0,0,0,0,0,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-150,2001,20.9,14,0.67,7,0,1,3,2,1,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-273,1995,22.0,90,4.10,66,2,11,8,3,0,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-319,1997,16.7,34,2.04,27,0,1,2,1,3,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-145,2002,9.9,14,1.41,9,4,0,1,0,0,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-196,2003,0.1,0,0.00,0,0,0,0,0,0,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-040,2000,0.2,1,5.29,1,0,0,0,0,0,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-333,1996,29.1,52,1.79,40,1,5,5,1,0,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-253,1996,9.0,25,2.76,20,0,1,1,1,2,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-096,1991,6.7,5,0.75,5,0,0,0,0,0,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-118,2000,30.7,20,0.65,15,1,0,4,0,0,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-141,1996,34.6,101,2.92,54,13,10,12,10,2,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-211,1997,2.2,6,2.69,6,0,0,0,0,0,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-242,2001,3.3,4,1.22,2,0,0,0,2,0,97220da2
65,David Brooks,wls WAL,FWDF,Bournemouth,25-306,1997,0.4,0,0.00,0,0,0,0,0,0,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-185,2000,0.3,0,0.00,0,0,0,0,0,0,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-088,2001,1.6,5,3.04,4,0,1,0,0,0,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-136,1996,25.5,86,3.37,68,2,8,3,4,1,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-234,2002,13.7,28,2.04,21,6,0,1,0,0,bfc3b3a0
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-138,2004,3.2,9,2.83,9,0,0,0,0,0,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,31-001,1992,31.4,32,1.02,29,1,0,2,0,0,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-073,1993,0.1,0,0.00,0,0,0,0,0,0,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-189,2001,30.4,82,2.70,75,0,2,3,1,1,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-110,1991,8.5,36,4.26,30,2,1,2,0,1,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-235,1996,10.5,6,0.57,6,0,0,0,0,0,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-055,1997,12.0,23,1.92,16,0,5,1,1,0,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-131,2002,0.8,2,2.43,1,0,1,0,0,0,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-348,1994,14.2,39,2.76,30,0,2,5,1,1,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-133,2002,0.3,0,0.00,0,0,0,0,0,0,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-097,1997,0.9,3,3.51,2,0,0,0,1,0,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-056,1993,2.3,3,1.32,2,0,0,1,0,0,b4a014b1
